dense1_units,l2_reg_2,dropout1,dense2_units,l2_reg_dense2,dropout2,lr,weight_decay,val_f1_macro,trial_id
2048,0.058478403687065965,0.3,256,0.07535208250934364,0.3,6.384434102521059e-05,0.0002712934492587969,0.7794378995895386,00
2048,0.06873340393572765,0.3,256,0.05056217990091902,0.3,1.6189027087406777e-05,0.00017799371533608593,0.7493811249732971,01
512,0.007897918988561976,0.5,512,0.02780695092015534,0.4,5.689028543352423e-05,0.00012664989035000696,0.7518465518951416,02
512,0.06087052102263162,0.4,256,0.05093414258823899,0.3,6.306058860834808e-06,0.00016990658269970096,0.2139272540807724,03
2048,0.007973813322096547,0.5,1024,0.08336456396172963,0.4,7.463691209892416e-05,0.0002972028509830002,0.7839578986167908,04
2048,0.06396942510502214,0.4,512,0.09161982261302169,0.4,3.549872700290328e-05,7.117185949286649e-05,0.7917181849479675,05
1024,0.02109071781667087,0.3,1024,0.03973508176704896,0.4,8.559802062065307e-06,0.0002708371874212767,0.6144730448722839,06
1024,0.05302161851287581,0.5,256,0.09377622916167962,0.5,1.4459280791579288e-05,0.00028103955065950277,0.4653988480567932,07
2048,0.08967288422150416,0.3,512,0.06541525819944542,0.3,5.8192372940407995e-05,0.00018784994809403505,0.7759965658187866,08
1024,0.024416311870314678,0.4,256,0.07161973257263399,0.4,9.619161307961839e-05,0.00016662616545823626,0.7866449356079102,09
512,0.040441177565466384,0.3,256,0.04636967023497354,0.3,5.997502769579016e-05,0.00027439836232369006,0.7871008515357971,10
512,0.03921934571253512,0.5,512,0.004727656770751407,0.3,8.892541779909455e-05,6.599298417124236e-05,0.7921239137649536,11
1024,0.07443789381779688,0.5,1024,0.047027960496605306,0.5,1.7289083122520148e-05,0.0001943416493636046,0.6820979118347168,12
2048,0.0348710996249607,0.5,1024,0.001125416421333858,0.3,7.86891912492289e-05,0.0002776913285347011,0.7949770092964172,13
1024,0.07625161442476916,0.4,512,0.007458319443619134,0.4,1.1526468300025636e-05,0.000137498043151027,0.5380034446716309,14
512,0.03467080526702099,0.3,1024,0.09181875866120127,0.3,5.561846476088615e-05,9.719369125072774e-05,0.7884462475776672,15
1024,0.08760767660576695,0.5,256,0.0940206635678451,0.4,3.850627680737584e-05,0.00026632486199974564,0.7710340619087219,16
512,0.018846303835141708,0.4,512,0.06963301338309336,0.5,8.636294633672419e-05,0.0002450571547264707,0.7831104397773743,17
512,0.027854804519757734,0.5,1024,0.01601267692365132,0.5,1.1962500081463522e-05,0.00021027597960598105,0.4491646885871887,18
1024,0.0622750637570429,0.3,256,0.08369853947712193,0.3,8.1270747669781e-05,0.00017113386742471953,0.7743324041366577,19
